artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,6iV7fblw3HOWXUcQZmLkO8,album,,2022-10-14,2022,day,0.482,0.572,7,-9.81,1,0.0522,0.12,0.00138,0.703,0.135,106.454,1FHHC9twFauoKhnn0K0h26,https://api.spotify.com/v1/audio-analysis/1FHHC9twFauoKhnn0K0h26,3,,,1,183932,FALSE,https://api.spotify.com/v1/tracks/1FHHC9twFauoKhnn0K0h26,FALSE,Heaven Is Here - Live At Madison Square Garden,NA,1,track,spotify:track:1FHHC9twFauoKhnn0K0h26,https://open.spotify.com/track/1FHHC9twFauoKhnn0K0h26,Dance Fever (Live At Madison Square Garden),G,major,G major
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,6iV7fblw3HOWXUcQZmLkO8,album,,2022-10-14,2022,day,0.686,0.571,4,-8.036,1,0.0289,0.0504,0.142,0.748,0.171,105.979,3bM3144R6ZYAskDY50NTQQ,https://api.spotify.com/v1/audio-analysis/3bM3144R6ZYAskDY50NTQQ,4,,,1,299634,FALSE,https://api.spotify.com/v1/tracks/3bM3144R6ZYAskDY50NTQQ,FALSE,King - Live At Madison Square Garden,NA,2,track,spotify:track:3bM3144R6ZYAskDY50NTQQ,https://open.spotify.com/track/3bM3144R6ZYAskDY50NTQQ,Dance Fever (Live At Madison Square Garden),E,major,E major
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,6iV7fblw3HOWXUcQZmLkO8,album,,2022-10-14,2022,day,0.571,0.942,5,-5.336,1,0.0466,0.00794,7.46e-6,0.722,0.494,142.081,4e1MMJ3moEKXALH8JSfKP2,https://api.spotify.com/v1/audio-analysis/4e1MMJ3moEKXALH8JSfKP2,4,,,1,253472,FALSE,https://api.spotify.com/v1/tracks/4e1MMJ3moEKXALH8JSfKP2,FALSE,Ship To Wreck - Live At Madison Square Garden,NA,3,track,spotify:track:4e1MMJ3moEKXALH8JSfKP2,https://open.spotify.com/track/4e1MMJ3moEKXALH8JSfKP2,Dance Fever (Live At Madison Square Garden),F,major,F major
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,6iV7fblw3HOWXUcQZmLkO8,album,,2022-10-14,2022,day,0.477,0.98,11,-7.232,1,0.264,0.0101,1.83e-5,0.758,0.155,174.847,1qQSaX3rqvetQHTKdNWbQE,https://api.spotify.com/v1/audio-analysis/1qQSaX3rqvetQHTKdNWbQE,4,,,1,272553,FALSE,https://api.spotify.com/v1/tracks/1qQSaX3rqvetQHTKdNWbQE,FALSE,Free - Live At Madison Square Garden,NA,4,track,spotify:track:1qQSaX3rqvetQHTKdNWbQE,https://open.spotify.com/track/1qQSaX3rqvetQHTKdNWbQE,Dance Fever (Live At Madison Square Garden),B,major,B major
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,6iV7fblw3HOWXUcQZmLkO8,album,,2022-10-14,2022,day,0.635,0.799,9,-6.655,0,0.0363,0.0317,0.00171,0.974,0.189,112.054,7rvbwH5QqnNl4agJiRFmY4,https://api.spotify.com/v1/audio-analysis/7rvbwH5QqnNl4agJiRFmY4,4,,,1,224361,FALSE,https://api.spotify.com/v1/tracks/7rvbwH5QqnNl4agJiRFmY4,FALSE,Daffodil - Live At Madison Square Garden,NA,5,track,spotify:track:7rvbwH5QqnNl4agJiRFmY4,https://open.spotify.com/track/7rvbwH5QqnNl4agJiRFmY4,Dance Fever (Live At Madison Square Garden),A,minor,A minor
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,6iV7fblw3HOWXUcQZmLkO8,album,,2022-10-14,2022,day,0.432,0.63,9,-7.33,0,0.0504,0.298,3.77e-6,0.857,0.0786,150.131,72duQ4NdrxzMrd1jCQxm3B,https://api.spotify.com/v1/audio-analysis/72duQ4NdrxzMrd1jCQxm3B,4,,,1,296879,FALSE,https://api.spotify.com/v1/tracks/72duQ4NdrxzMrd1jCQxm3B,FALSE,Dog Days Are Over - Live At Madison Square Garden,NA,6,track,spotify:track:72duQ4NdrxzMrd1jCQxm3B,https://open.spotify.com/track/72duQ4NdrxzMrd1jCQxm3B,Dance Fever (Live At Madison Square Garden),A,minor,A minor
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,6iV7fblw3HOWXUcQZmLkO8,album,,2022-10-14,2022,day,0.547,0.515,4,-7.694,1,0.0272,0.643,5.46e-5,0.646,0.142,101.979,5gQnC5gOHeGp19kz6iCpqN,https://api.spotify.com/v1/audio-analysis/5gQnC5gOHeGp19kz6iCpqN,4,,,1,260329,FALSE,https://api.spotify.com/v1/tracks/5gQnC5gOHeGp19kz6iCpqN,FALSE,Girls Against God - Live At Madison Square Garden,NA,7,track,spotify:track:5gQnC5gOHeGp19kz6iCpqN,https://open.spotify.com/track/5gQnC5gOHeGp19kz6iCpqN,Dance Fever (Live At Madison Square Garden),E,major,E major
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,6iV7fblw3HOWXUcQZmLkO8,album,,2022-10-14,2022,day,0.437,0.704,4,-6.637,0,0.0372,0.0116,0,0.11,0.0946,82.985,6DIYXyJeOltC60MgjfTSUe,https://api.spotify.com/v1/audio-analysis/6DIYXyJeOltC60MgjfTSUe,4,,,1,231662,FALSE,https://api.spotify.com/v1/tracks/6DIYXyJeOltC60MgjfTSUe,FALSE,Dream Girl Evil - Live At Madison Square Garden,NA,8,track,spotify:track:6DIYXyJeOltC60MgjfTSUe,https://open.spotify.com/track/6DIYXyJeOltC60MgjfTSUe,Dance Fever (Live At Madison Square Garden),E,minor,E minor
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,6iV7fblw3HOWXUcQZmLkO8,album,,2022-10-14,2022,day,0.564,0.322,2,-8.94,0,0.0296,0.497,9.18e-4,0.13,0.0789,95.984,3qMiDjoFsh8YsTuBoWK6ll,https://api.spotify.com/v1/audio-analysis/3qMiDjoFsh8YsTuBoWK6ll,4,,,1,75458,FALSE,https://api.spotify.com/v1/tracks/3qMiDjoFsh8YsTuBoWK6ll,FALSE,Prayer Factory - Live At Madison Square Garden,NA,9,track,spotify:track:3qMiDjoFsh8YsTuBoWK6ll,https://open.spotify.com/track/3qMiDjoFsh8YsTuBoWK6ll,Dance Fever (Live At Madison Square Garden),D,minor,D minor
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,6iV7fblw3HOWXUcQZmLkO8,album,,2022-10-14,2022,day,0.539,0.534,2,-7.609,0,0.0314,0.408,6.3e-5,0.601,0.143,73.015,057KfbFlmD9wYojkxyXd0B,https://api.spotify.com/v1/audio-analysis/057KfbFlmD9wYojkxyXd0B,4,,,1,258742,FALSE,https://api.spotify.com/v1/tracks/057KfbFlmD9wYojkxyXd0B,FALSE,Big God - Live At Madison Square Garden,NA,10,track,spotify:track:057KfbFlmD9wYojkxyXd0B,https://open.spotify.com/track/057KfbFlmD9wYojkxyXd0B,Dance Fever (Live At Madison Square Garden),D,minor,D minor
