artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,2VeOtQQAJxR8VyvmoXqIbI,album,,2022-07-29,2022,day,0.369,0.776,7,-6.188,1,0.0468,0.00474,0.0957,0.0805,0.0924,149.07,5WjKzP0MY4COScm6VPrLqU,https://api.spotify.com/v1/audio-analysis/5WjKzP0MY4COScm6VPrLqU,4,,,1,194933,FALSE,https://api.spotify.com/v1/tracks/5WjKzP0MY4COScm6VPrLqU,FALSE,Overdrive,NA,1,track,spotify:track:5WjKzP0MY4COScm6VPrLqU,https://open.spotify.com/track/5WjKzP0MY4COScm6VPrLqU,Surrender,G,major,G major
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,2VeOtQQAJxR8VyvmoXqIbI,album,,2022-07-29,2022,day,0.269,0.764,7,-3.735,1,0.0534,0.132,0,0.0723,0.15,181.299,49EXOlUTFBGdI098L6SXDh,https://api.spotify.com/v1/audio-analysis/49EXOlUTFBGdI098L6SXDh,4,,,1,252760,FALSE,https://api.spotify.com/v1/tracks/49EXOlUTFBGdI098L6SXDh,FALSE,That's Where I Am,NA,2,track,spotify:track:49EXOlUTFBGdI098L6SXDh,https://open.spotify.com/track/49EXOlUTFBGdI098L6SXDh,Surrender,G,major,G major
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,2VeOtQQAJxR8VyvmoXqIbI,album,,2022-07-29,2022,day,0.533,0.746,2,-3.281,1,0.0316,0.022,2.93e-5,0.274,0.36,90.043,1dSTDwgJBmHw3RaiM9h2ah,https://api.spotify.com/v1/audio-analysis/1dSTDwgJBmHw3RaiM9h2ah,4,,,1,188520,FALSE,https://api.spotify.com/v1/tracks/1dSTDwgJBmHw3RaiM9h2ah,FALSE,Want Want,NA,3,track,spotify:track:1dSTDwgJBmHw3RaiM9h2ah,https://open.spotify.com/track/1dSTDwgJBmHw3RaiM9h2ah,Surrender,D,major,D major
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,2VeOtQQAJxR8VyvmoXqIbI,album,,2022-07-29,2022,day,0.387,0.728,9,-5.33,1,0.053,0.283,0.00516,0.108,0.129,123.35,4Hxcb6wDlelhZpk5fc5jmD,https://api.spotify.com/v1/audio-analysis/4Hxcb6wDlelhZpk5fc5jmD,4,,,1,297000,TRUE,https://api.spotify.com/v1/tracks/4Hxcb6wDlelhZpk5fc5jmD,FALSE,Anywhere With You,NA,4,track,spotify:track:4Hxcb6wDlelhZpk5fc5jmD,https://open.spotify.com/track/4Hxcb6wDlelhZpk5fc5jmD,Surrender,A,major,A major
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,2VeOtQQAJxR8VyvmoXqIbI,album,,2022-07-29,2022,day,0.614,0.617,8,-4.23,1,0.0295,0.641,1.78e-4,0.0648,0.15,105.933,1cncEDS6zwXOguyaMGp6vU,https://api.spotify.com/v1/audio-analysis/1cncEDS6zwXOguyaMGp6vU,4,,,1,305000,FALSE,https://api.spotify.com/v1/tracks/1cncEDS6zwXOguyaMGp6vU,FALSE,Horses,NA,5,track,spotify:track:1cncEDS6zwXOguyaMGp6vU,https://open.spotify.com/track/1cncEDS6zwXOguyaMGp6vU,Surrender,G#,major,G# major
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,2VeOtQQAJxR8VyvmoXqIbI,album,,2022-07-29,2022,day,0.633,0.8,1,-4.276,1,0.0364,0.281,0.00133,0.115,0.451,94.989,13WcpETaTUAFDyhVvvXdDa,https://api.spotify.com/v1/audio-analysis/13WcpETaTUAFDyhVvvXdDa,4,,,1,177240,TRUE,https://api.spotify.com/v1/tracks/13WcpETaTUAFDyhVvvXdDa,FALSE,Be Cool,NA,6,track,spotify:track:13WcpETaTUAFDyhVvvXdDa,https://open.spotify.com/track/13WcpETaTUAFDyhVvvXdDa,Surrender,C#,major,C# major
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,2VeOtQQAJxR8VyvmoXqIbI,album,,2022-07-29,2022,day,0.572,0.853,9,-2.114,1,0.0351,0.0982,7.25e-6,0.131,0.572,150.03,4MP5tSTc6LxY8xhrUOv9Ya,https://api.spotify.com/v1/audio-analysis/4MP5tSTc6LxY8xhrUOv9Ya,4,,,1,220826,FALSE,https://api.spotify.com/v1/tracks/4MP5tSTc6LxY8xhrUOv9Ya,FALSE,Shatter,NA,7,track,spotify:track:4MP5tSTc6LxY8xhrUOv9Ya,https://open.spotify.com/track/4MP5tSTc6LxY8xhrUOv9Ya,Surrender,A,major,A major
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,2VeOtQQAJxR8VyvmoXqIbI,album,,2022-07-29,2022,day,0.485,0.492,6,-6.169,1,0.0343,0.673,6.26e-5,0.137,0.155,123.923,7GZsRf95nGjdm5APIdS2iM,https://api.spotify.com/v1/audio-analysis/7GZsRf95nGjdm5APIdS2iM,4,,,1,253613,FALSE,https://api.spotify.com/v1/tracks/7GZsRf95nGjdm5APIdS2iM,FALSE,Begging for Rain,NA,8,track,spotify:track:7GZsRf95nGjdm5APIdS2iM,https://open.spotify.com/track/7GZsRf95nGjdm5APIdS2iM,Surrender,F#,major,F# major
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,2VeOtQQAJxR8VyvmoXqIbI,album,,2022-07-29,2022,day,0.739,0.393,7,-7.773,1,0.0411,0.563,0,0.608,0.452,134.961,6E1cegf6QEL0J3bCt5tCIC,https://api.spotify.com/v1/audio-analysis/6E1cegf6QEL0J3bCt5tCIC,4,,,1,192466,TRUE,https://api.spotify.com/v1/tracks/6E1cegf6QEL0J3bCt5tCIC,FALSE,I've Got a Friend,NA,9,track,spotify:track:6E1cegf6QEL0J3bCt5tCIC,https://open.spotify.com/track/6E1cegf6QEL0J3bCt5tCIC,Surrender,G,major,G major
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,2VeOtQQAJxR8VyvmoXqIbI,album,,2022-07-29,2022,day,0.315,0.807,7,-2.113,1,0.0463,0.0685,0,0.0866,0.194,144.318,1zoPdnExrABr51QDrEoZUQ,https://api.spotify.com/v1/audio-analysis/1zoPdnExrABr51QDrEoZUQ,4,,,1,222013,TRUE,https://api.spotify.com/v1/tracks/1zoPdnExrABr51QDrEoZUQ,FALSE,Honey,NA,10,track,spotify:track:1zoPdnExrABr51QDrEoZUQ,https://open.spotify.com/track/1zoPdnExrABr51QDrEoZUQ,Surrender,G,major,G major
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,2VeOtQQAJxR8VyvmoXqIbI,album,,2022-07-29,2022,day,0.505,0.761,11,-6.279,1,0.0454,0.0883,0.527,0.107,0.41,130.002,7IFkBotMhW6cSOxdVNZIZN,https://api.spotify.com/v1/audio-analysis/7IFkBotMhW6cSOxdVNZIZN,4,,,1,311000,FALSE,https://api.spotify.com/v1/tracks/7IFkBotMhW6cSOxdVNZIZN,FALSE,Symphony,NA,11,track,spotify:track:7IFkBotMhW6cSOxdVNZIZN,https://open.spotify.com/track/7IFkBotMhW6cSOxdVNZIZN,Surrender,B,major,B major
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,2VeOtQQAJxR8VyvmoXqIbI,album,,2022-07-29,2022,day,0.625,0.146,2,-9.497,1,0.0297,0.394,8.44e-5,0.119,0.235,113.952,2cWMbr0aGddDlXbTEzSAxn,https://api.spotify.com/v1/audio-analysis/2cWMbr0aGddDlXbTEzSAxn,4,,,1,165786,FALSE,https://api.spotify.com/v1/tracks/2cWMbr0aGddDlXbTEzSAxn,FALSE,Different Kind of World,NA,12,track,spotify:track:2cWMbr0aGddDlXbTEzSAxn,https://open.spotify.com/track/2cWMbr0aGddDlXbTEzSAxn,Surrender,D,major,D major
