artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
MARINA,6CwfuxIqcltXDGjfZsMd9A,5fTen7HNXNAS2GqCa5E3yT,album,,2022-04-29,2022,day,0.495,0.856,0,-5.123,0,0.0311,2.19e-4,0,0.103,0.61,158.023,1OmCnarJKffeZBmXY6BXDs,https://api.spotify.com/v1/audio-analysis/1OmCnarJKffeZBmXY6BXDs,4,,,1,154666,TRUE,https://api.spotify.com/v1/tracks/1OmCnarJKffeZBmXY6BXDs,FALSE,Bubblegum Bitch,https://p.scdn.co/mp3-preview/8e0d746652442a9fcec24dbfef8967e2262c2bb6?cid=32b061919ffd4e3886beaf5eae45c9eb,1,track,spotify:track:1OmCnarJKffeZBmXY6BXDs,https://open.spotify.com/track/1OmCnarJKffeZBmXY6BXDs,Electra Heart (Platinum Blonde Edition),C,minor,C minor
MARINA,6CwfuxIqcltXDGjfZsMd9A,5fTen7HNXNAS2GqCa5E3yT,album,,2022-04-29,2022,day,0.66,0.689,4,-2.671,0,0.0337,0.091,0,0.0922,0.427,127.979,684UKTnZ9FVpE61gDGb2AX,https://api.spotify.com/v1/audio-analysis/684UKTnZ9FVpE61gDGb2AX,4,,,1,221075,FALSE,https://api.spotify.com/v1/tracks/684UKTnZ9FVpE61gDGb2AX,FALSE,Primadonna,https://p.scdn.co/mp3-preview/6069b452881284e00ab65f2eafe6a27d328bf399?cid=32b061919ffd4e3886beaf5eae45c9eb,2,track,spotify:track:684UKTnZ9FVpE61gDGb2AX,https://open.spotify.com/track/684UKTnZ9FVpE61gDGb2AX,Electra Heart (Platinum Blonde Edition),E,minor,E minor
MARINA,6CwfuxIqcltXDGjfZsMd9A,5fTen7HNXNAS2GqCa5E3yT,album,,2022-04-29,2022,day,0.56,0.672,7,-5.582,1,0.0338,0.0154,0,0.171,0.281,124.062,5NXdRg9eG7kQbO0yTTzZ9f,https://api.spotify.com/v1/audio-analysis/5NXdRg9eG7kQbO0yTTzZ9f,4,,,1,226200,FALSE,https://api.spotify.com/v1/tracks/5NXdRg9eG7kQbO0yTTzZ9f,FALSE,Lies,https://p.scdn.co/mp3-preview/dca1053e6d4258e13fd6555ebc1e1ec406b66bb8?cid=32b061919ffd4e3886beaf5eae45c9eb,3,track,spotify:track:5NXdRg9eG7kQbO0yTTzZ9f,https://open.spotify.com/track/5NXdRg9eG7kQbO0yTTzZ9f,Electra Heart (Platinum Blonde Edition),G,major,G major
MARINA,6CwfuxIqcltXDGjfZsMd9A,5fTen7HNXNAS2GqCa5E3yT,album,,2022-04-29,2022,day,0.484,0.756,9,-5.709,0,0.0605,0.00135,1.45e-6,0.168,0.195,132.719,4ZCc8ZhBTlZZqgksKuJ1JL,https://api.spotify.com/v1/audio-analysis/4ZCc8ZhBTlZZqgksKuJ1JL,4,,,1,202693,FALSE,https://api.spotify.com/v1/tracks/4ZCc8ZhBTlZZqgksKuJ1JL,FALSE,Homewrecker,https://p.scdn.co/mp3-preview/3a6f5cd87ef00471ab9da1273a25aa9f04c2ba3a?cid=32b061919ffd4e3886beaf5eae45c9eb,4,track,spotify:track:4ZCc8ZhBTlZZqgksKuJ1JL,https://open.spotify.com/track/4ZCc8ZhBTlZZqgksKuJ1JL,Electra Heart (Platinum Blonde Edition),A,minor,A minor
MARINA,6CwfuxIqcltXDGjfZsMd9A,5fTen7HNXNAS2GqCa5E3yT,album,,2022-04-29,2022,day,0.53,0.798,1,-5.002,0,0.0667,0.123,0,0.0741,0.416,144.002,0hKEFbM1YPi0VywjzccmCJ,https://api.spotify.com/v1/audio-analysis/0hKEFbM1YPi0VywjzccmCJ,4,,,1,206986,TRUE,https://api.spotify.com/v1/tracks/0hKEFbM1YPi0VywjzccmCJ,FALSE,Starring Role,https://p.scdn.co/mp3-preview/adb385a1a430edaf628b2476e17ae7dff998a5fe?cid=32b061919ffd4e3886beaf5eae45c9eb,5,track,spotify:track:0hKEFbM1YPi0VywjzccmCJ,https://open.spotify.com/track/0hKEFbM1YPi0VywjzccmCJ,Electra Heart (Platinum Blonde Edition),C#,minor,C# minor
MARINA,6CwfuxIqcltXDGjfZsMd9A,5fTen7HNXNAS2GqCa5E3yT,album,,2022-04-29,2022,day,0.523,0.73,9,-5.162,0,0.0311,6.8e-4,1.46e-5,0.0675,0.0833,124.043,5YGvULxAFeNE51IK0Tyo9L,https://api.spotify.com/v1/audio-analysis/5YGvULxAFeNE51IK0Tyo9L,4,,,1,216733,FALSE,https://api.spotify.com/v1/tracks/5YGvULxAFeNE51IK0Tyo9L,FALSE,The State of Dreaming,https://p.scdn.co/mp3-preview/3dc2875125d7123cee22264e7683c10e661ce188?cid=32b061919ffd4e3886beaf5eae45c9eb,6,track,spotify:track:5YGvULxAFeNE51IK0Tyo9L,https://open.spotify.com/track/5YGvULxAFeNE51IK0Tyo9L,Electra Heart (Platinum Blonde Edition),A,minor,A minor
MARINA,6CwfuxIqcltXDGjfZsMd9A,5fTen7HNXNAS2GqCa5E3yT,album,,2022-04-29,2022,day,0.529,0.9,9,-4.941,0,0.0442,0.00807,0.00128,0.114,0.475,119.98,5txvu4fR4U0oKW9G651Yde,https://api.spotify.com/v1/audio-analysis/5txvu4fR4U0oKW9G651Yde,4,,,1,226480,FALSE,https://api.spotify.com/v1/tracks/5txvu4fR4U0oKW9G651Yde,FALSE,Power & Control,https://p.scdn.co/mp3-preview/a9597b27e837ba8fde80f08793e9e3401aaf3152?cid=32b061919ffd4e3886beaf5eae45c9eb,7,track,spotify:track:5txvu4fR4U0oKW9G651Yde,https://open.spotify.com/track/5txvu4fR4U0oKW9G651Yde,Electra Heart (Platinum Blonde Edition),A,minor,A minor
MARINA,6CwfuxIqcltXDGjfZsMd9A,5fTen7HNXNAS2GqCa5E3yT,album,,2022-04-29,2022,day,0.645,0.901,7,-3.333,1,0.0392,0.00247,0,0.0615,0.396,124.028,7yHtkso7kTGYRbXUYeHjym,https://api.spotify.com/v1/audio-analysis/7yHtkso7kTGYRbXUYeHjym,4,,,1,244373,FALSE,https://api.spotify.com/v1/tracks/7yHtkso7kTGYRbXUYeHjym,FALSE,Living Dead,https://p.scdn.co/mp3-preview/ed71e9de88a808c3b9cf6997cf471619fd8d2dcf?cid=32b061919ffd4e3886beaf5eae45c9eb,8,track,spotify:track:7yHtkso7kTGYRbXUYeHjym,https://open.spotify.com/track/7yHtkso7kTGYRbXUYeHjym,Electra Heart (Platinum Blonde Edition),G,major,G major
MARINA,6CwfuxIqcltXDGjfZsMd9A,5fTen7HNXNAS2GqCa5E3yT,album,,2022-04-29,2022,day,0.571,0.652,5,-6.26,1,0.0349,0.244,0,0.0938,0.374,121.197,7j2xpBX1SfdnpAnTdDYrSn,https://api.spotify.com/v1/audio-analysis/7j2xpBX1SfdnpAnTdDYrSn,4,,,1,254400,FALSE,https://api.spotify.com/v1/tracks/7j2xpBX1SfdnpAnTdDYrSn,FALSE,Teen Idle,https://p.scdn.co/mp3-preview/7627d11a697bd6cab0a86ed7ab37333296d83849?cid=32b061919ffd4e3886beaf5eae45c9eb,9,track,spotify:track:7j2xpBX1SfdnpAnTdDYrSn,https://open.spotify.com/track/7j2xpBX1SfdnpAnTdDYrSn,Electra Heart (Platinum Blonde Edition),F,major,F major
MARINA,6CwfuxIqcltXDGjfZsMd9A,5fTen7HNXNAS2GqCa5E3yT,album,,2022-04-29,2022,day,0.553,0.669,1,-6.161,1,0.0268,3.14e-4,0,0.113,0.26,119.98,1rmZZbGhFmM2Ma1jNdrPh4,https://api.spotify.com/v1/audio-analysis/1rmZZbGhFmM2Ma1jNdrPh4,4,,,1,253786,FALSE,https://api.spotify.com/v1/tracks/1rmZZbGhFmM2Ma1jNdrPh4,FALSE,Valley of the Dolls,https://p.scdn.co/mp3-preview/52f62e74764a99b956c9a5a59668131791243f98?cid=32b061919ffd4e3886beaf5eae45c9eb,10,track,spotify:track:1rmZZbGhFmM2Ma1jNdrPh4,https://open.spotify.com/track/1rmZZbGhFmM2Ma1jNdrPh4,Electra Heart (Platinum Blonde Edition),C#,major,C# major
