artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,55k2y2CMY7Xkw7T3t26MTS,album,,2022-11-11,2022,day,0.242,0.45,2,-10.535,1,0.0372,0.171,2.62e-4,0.0835,0.0675,97.855,4vzheKJ4T7vtewqPLH4jBW,https://api.spotify.com/v1/audio-analysis/4vzheKJ4T7vtewqPLH4jBW,4,,,1,273560,FALSE,https://api.spotify.com/v1/tracks/4vzheKJ4T7vtewqPLH4jBW,FALSE,Darkness Fades,https://p.scdn.co/mp3-preview/3a95438bd0f45565d172b664fb9728087d8dea64?cid=32b061919ffd4e3886beaf5eae45c9eb,1,track,spotify:track:4vzheKJ4T7vtewqPLH4jBW,https://open.spotify.com/track/4vzheKJ4T7vtewqPLH4jBW,We've Been Going About This All Wrong (Deluxe Edition),D,major,D major
Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,55k2y2CMY7Xkw7T3t26MTS,album,,2022-11-11,2022,day,0.593,0.373,9,-9.383,0,0.0253,0.108,0.366,0.0924,0.242,99.938,20X8QOhmCu5gX8fxjTCCRD,https://api.spotify.com/v1/audio-analysis/20X8QOhmCu5gX8fxjTCCRD,4,,,1,218533,FALSE,https://api.spotify.com/v1/tracks/20X8QOhmCu5gX8fxjTCCRD,FALSE,Home to Me,https://p.scdn.co/mp3-preview/9b68d05bed1b96a0d147c2292617834da81e7f0b?cid=32b061919ffd4e3886beaf5eae45c9eb,2,track,spotify:track:20X8QOhmCu5gX8fxjTCCRD,https://open.spotify.com/track/20X8QOhmCu5gX8fxjTCCRD,We've Been Going About This All Wrong (Deluxe Edition),A,minor,A minor
Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,55k2y2CMY7Xkw7T3t26MTS,album,,2022-11-11,2022,day,0.453,0.621,5,-7.81,1,0.0304,0.00336,0.106,0.0832,0.316,101.026,1j05GjDriIklmdItfijzwg,https://api.spotify.com/v1/audio-analysis/1j05GjDriIklmdItfijzwg,4,,,1,187613,FALSE,https://api.spotify.com/v1/tracks/1j05GjDriIklmdItfijzwg,FALSE,I'll Try,https://p.scdn.co/mp3-preview/58c81da23e6971326b375cb494c0168069528a1d?cid=32b061919ffd4e3886beaf5eae45c9eb,3,track,spotify:track:1j05GjDriIklmdItfijzwg,https://open.spotify.com/track/1j05GjDriIklmdItfijzwg,We've Been Going About This All Wrong (Deluxe Edition),F,major,F major
Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,55k2y2CMY7Xkw7T3t26MTS,album,,2022-11-11,2022,day,0.489,0.717,9,-7.627,1,0.0324,0.00496,0.00655,0.0905,0.15,99.913,2fURyKFnfufJDryD0fvxG0,https://api.spotify.com/v1/audio-analysis/2fURyKFnfufJDryD0fvxG0,4,,,1,158440,FALSE,https://api.spotify.com/v1/tracks/2fURyKFnfufJDryD0fvxG0,FALSE,Anything,https://p.scdn.co/mp3-preview/2f8a88372349ba861283cd8250b71beba3f62616?cid=32b061919ffd4e3886beaf5eae45c9eb,4,track,spotify:track:2fURyKFnfufJDryD0fvxG0,https://open.spotify.com/track/2fURyKFnfufJDryD0fvxG0,We've Been Going About This All Wrong (Deluxe Edition),A,major,A major
Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,55k2y2CMY7Xkw7T3t26MTS,album,,2022-11-11,2022,day,0.509,0.359,7,-10.116,0,0.0284,0.0192,0.00983,0.133,0.262,119.837,29YsqWWkfXx8VanLAoH6Pv,https://api.spotify.com/v1/audio-analysis/29YsqWWkfXx8VanLAoH6Pv,4,,,1,302413,FALSE,https://api.spotify.com/v1/tracks/29YsqWWkfXx8VanLAoH6Pv,FALSE,Born,https://p.scdn.co/mp3-preview/8406c1132ca7b9ff4a876063d5842111813aa8fd?cid=32b061919ffd4e3886beaf5eae45c9eb,5,track,spotify:track:29YsqWWkfXx8VanLAoH6Pv,https://open.spotify.com/track/29YsqWWkfXx8VanLAoH6Pv,We've Been Going About This All Wrong (Deluxe Edition),G,minor,G minor
Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,55k2y2CMY7Xkw7T3t26MTS,album,,2022-11-11,2022,day,0.489,0.767,9,-6.787,0,0.0383,2.21e-4,0.178,0.849,0.325,122.924,0r1QbkYiDL6skMykjUFxfe,https://api.spotify.com/v1/audio-analysis/0r1QbkYiDL6skMykjUFxfe,4,,,1,266013,FALSE,https://api.spotify.com/v1/tracks/0r1QbkYiDL6skMykjUFxfe,FALSE,Headspace,https://p.scdn.co/mp3-preview/143aed834e35fde30a0956c67bb31fa09766c338?cid=32b061919ffd4e3886beaf5eae45c9eb,6,track,spotify:track:0r1QbkYiDL6skMykjUFxfe,https://open.spotify.com/track/0r1QbkYiDL6skMykjUFxfe,We've Been Going About This All Wrong (Deluxe Edition),A,minor,A minor
Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,55k2y2CMY7Xkw7T3t26MTS,album,,2022-11-11,2022,day,0.334,0.344,4,-8.168,1,0.0288,0.215,1.3e-4,0.113,0.173,128.475,1i779BR4wOj5z6NRxwosZa,https://api.spotify.com/v1/audio-analysis/1i779BR4wOj5z6NRxwosZa,4,,,1,269960,FALSE,https://api.spotify.com/v1/tracks/1i779BR4wOj5z6NRxwosZa,FALSE,Come Back,https://p.scdn.co/mp3-preview/405958399bedd8f6f3b5734b4f975457ae841c49?cid=32b061919ffd4e3886beaf5eae45c9eb,7,track,spotify:track:1i779BR4wOj5z6NRxwosZa,https://open.spotify.com/track/1i779BR4wOj5z6NRxwosZa,We've Been Going About This All Wrong (Deluxe Edition),E,major,E major
Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,55k2y2CMY7Xkw7T3t26MTS,album,,2022-11-11,2022,day,0.217,0.054,9,-16.463,1,0.0348,0.947,0,0.228,0.0693,175.821,3YSvzjSuKBrzBqIlajLMLS,https://api.spotify.com/v1/audio-analysis/3YSvzjSuKBrzBqIlajLMLS,3,,,1,244760,FALSE,https://api.spotify.com/v1/tracks/3YSvzjSuKBrzBqIlajLMLS,FALSE,Darkish,https://p.scdn.co/mp3-preview/8e0b5addd1a19105efd5a658549deba86b8e212d?cid=32b061919ffd4e3886beaf5eae45c9eb,8,track,spotify:track:3YSvzjSuKBrzBqIlajLMLS,https://open.spotify.com/track/3YSvzjSuKBrzBqIlajLMLS,We've Been Going About This All Wrong (Deluxe Edition),A,major,A major
Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,55k2y2CMY7Xkw7T3t26MTS,album,,2022-11-11,2022,day,0.571,0.777,6,-7.828,1,0.0273,0.00283,0.604,0.181,0.515,99.901,1guZoNOer88c43c3PwoS7d,https://api.spotify.com/v1/audio-analysis/1guZoNOer88c43c3PwoS7d,4,,,1,239146,FALSE,https://api.spotify.com/v1/tracks/1guZoNOer88c43c3PwoS7d,FALSE,Mistakes,https://p.scdn.co/mp3-preview/0741fc44aaa717502e5136f7441defd0f6dd7fab?cid=32b061919ffd4e3886beaf5eae45c9eb,9,track,spotify:track:1guZoNOer88c43c3PwoS7d,https://open.spotify.com/track/1guZoNOer88c43c3PwoS7d,We've Been Going About This All Wrong (Deluxe Edition),F#,major,F# major
Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,55k2y2CMY7Xkw7T3t26MTS,album,,2022-11-11,2022,day,0.431,0.396,0,-7.768,1,0.0254,0.44,0.00144,0.128,0.164,62.427,0zrBiG42TrzJ6I4Oy79Kkv,https://api.spotify.com/v1/audio-analysis/0zrBiG42TrzJ6I4Oy79Kkv,4,,,1,199093,FALSE,https://api.spotify.com/v1/tracks/0zrBiG42TrzJ6I4Oy79Kkv,FALSE,Far Away,https://p.scdn.co/mp3-preview/29abadb739452dbf4b52791c9ab3c60c9851775b?cid=32b061919ffd4e3886beaf5eae45c9eb,10,track,spotify:track:0zrBiG42TrzJ6I4Oy79Kkv,https://open.spotify.com/track/0zrBiG42TrzJ6I4Oy79Kkv,We've Been Going About This All Wrong (Deluxe Edition),C,major,C major
