artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,1jfLCbkowa2O8Wq52mo61d,album,,2021-09-17,2021,day,0.204,0.691,7,-8.385,1,0.0872,0.325,0.00605,0.324,0.423,75.187,2NyznXOpcN9vy7tOgOxV8I,https://api.spotify.com/v1/audio-analysis/2NyznXOpcN9vy7tOgOxV8I,5,,,1,269374,FALSE,https://api.spotify.com/v1/tracks/2NyznXOpcN9vy7tOgOxV8I,FALSE,The Nowhere Inn,NA,1,track,spotify:track:2NyznXOpcN9vy7tOgOxV8I,https://open.spotify.com/track/2NyznXOpcN9vy7tOgOxV8I,The Nowhere Inn,G,major,G major
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,1jfLCbkowa2O8Wq52mo61d,album,,2021-09-17,2021,day,0.271,0.155,2,-22.189,0,0.0392,0.969,0.645,0.239,0.18,83.543,7I3vnN7JkrJEiTtuoXGKoo,https://api.spotify.com/v1/audio-analysis/7I3vnN7JkrJEiTtuoXGKoo,4,,,1,33453,FALSE,https://api.spotify.com/v1/tracks/7I3vnN7JkrJEiTtuoXGKoo,FALSE,Carrie Voicemail,NA,2,track,spotify:track:7I3vnN7JkrJEiTtuoXGKoo,https://open.spotify.com/track/7I3vnN7JkrJEiTtuoXGKoo,The Nowhere Inn,D,minor,D minor
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,1jfLCbkowa2O8Wq52mo61d,album,,2021-09-17,2021,day,0.344,0.594,7,-8.172,0,0.0366,0.141,7.71e-4,0.197,0.133,82.004,6G76nsf9B0FWGfxTi9ilua,https://api.spotify.com/v1/audio-analysis/6G76nsf9B0FWGfxTi9ilua,4,,,1,229390,FALSE,https://api.spotify.com/v1/tracks/6G76nsf9B0FWGfxTi9ilua,FALSE,Palm Desert,NA,3,track,spotify:track:6G76nsf9B0FWGfxTi9ilua,https://open.spotify.com/track/6G76nsf9B0FWGfxTi9ilua,The Nowhere Inn,G,minor,G minor
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,1jfLCbkowa2O8Wq52mo61d,album,,2021-09-17,2021,day,0.316,0.451,2,-15.885,0,0.0686,0.711,0.789,0.192,0.0869,164.868,67M7KQ0pYyXnB5Zlqe9OqL,https://api.spotify.com/v1/audio-analysis/67M7KQ0pYyXnB5Zlqe9OqL,3,,,1,90756,FALSE,https://api.spotify.com/v1/tracks/67M7KQ0pYyXnB5Zlqe9OqL,FALSE,Carrie Wave,NA,4,track,spotify:track:67M7KQ0pYyXnB5Zlqe9OqL,https://open.spotify.com/track/67M7KQ0pYyXnB5Zlqe9OqL,The Nowhere Inn,D,minor,D minor
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,1jfLCbkowa2O8Wq52mo61d,album,,2021-09-17,2021,day,0.503,0.906,10,-7.081,1,0.0613,6.03e-4,8.6e-4,0.138,0.313,109.819,5EvXYsTAP7KSH9iiXjFLCI,https://api.spotify.com/v1/audio-analysis/5EvXYsTAP7KSH9iiXjFLCI,4,,,1,142907,TRUE,https://api.spotify.com/v1/tracks/5EvXYsTAP7KSH9iiXjFLCI,FALSE,Waiting On A Wave,NA,5,track,spotify:track:5EvXYsTAP7KSH9iiXjFLCI,https://open.spotify.com/track/5EvXYsTAP7KSH9iiXjFLCI,The Nowhere Inn,A#,major,A# major
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,1jfLCbkowa2O8Wq52mo61d,album,,2021-09-17,2021,day,0.311,0.0624,2,-27.197,0,0.0302,0.943,0.846,0.127,0.0375,86.28,1O7Z9u4BSpSqkmd9L3i8pa,https://api.spotify.com/v1/audio-analysis/1O7Z9u4BSpSqkmd9L3i8pa,5,,,1,94010,FALSE,https://api.spotify.com/v1/tracks/1O7Z9u4BSpSqkmd9L3i8pa,FALSE,Opening Limo Scene,NA,6,track,spotify:track:1O7Z9u4BSpSqkmd9L3i8pa,https://open.spotify.com/track/1O7Z9u4BSpSqkmd9L3i8pa,The Nowhere Inn,D,minor,D minor
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,1jfLCbkowa2O8Wq52mo61d,album,,2021-09-17,2021,day,0.832,0.0354,10,-23.788,1,0.278,0.792,0.927,0.109,0.0383,114.762,6GZlV0GfKVzFZ8JkS9yxbN,https://api.spotify.com/v1/audio-analysis/6GZlV0GfKVzFZ8JkS9yxbN,4,,,1,42030,FALSE,https://api.spotify.com/v1/tracks/6GZlV0GfKVzFZ8JkS9yxbN,FALSE,Hallway Scene,NA,7,track,spotify:track:6GZlV0GfKVzFZ8JkS9yxbN,https://open.spotify.com/track/6GZlV0GfKVzFZ8JkS9yxbN,The Nowhere Inn,A#,major,A# major
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,1jfLCbkowa2O8Wq52mo61d,album,,2021-09-17,2021,day,0.278,0.0518,0,-24.339,1,0.0555,0.968,0.941,0.278,0.0281,65.698,1riTTzHifyz2KeZTK9xNcr,https://api.spotify.com/v1/audio-analysis/1riTTzHifyz2KeZTK9xNcr,3,,,1,70384,FALSE,https://api.spotify.com/v1/tracks/1riTTzHifyz2KeZTK9xNcr,FALSE,Rooftop,NA,8,track,spotify:track:1riTTzHifyz2KeZTK9xNcr,https://open.spotify.com/track/1riTTzHifyz2KeZTK9xNcr,The Nowhere Inn,C,major,C major
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,1jfLCbkowa2O8Wq52mo61d,album,,2021-09-17,2021,day,0.517,0.0567,3,-30.27,0,0.0372,0.941,0.981,0.11,0.174,110.036,20vVKQWGDgHte5msuPC37m,https://api.spotify.com/v1/audio-analysis/20vVKQWGDgHte5msuPC37m,4,,,1,54980,FALSE,https://api.spotify.com/v1/tracks/20vVKQWGDgHte5msuPC37m,FALSE,Come To Jesus,NA,9,track,spotify:track:20vVKQWGDgHte5msuPC37m,https://open.spotify.com/track/20vVKQWGDgHte5msuPC37m,The Nowhere Inn,D#,minor,D# minor
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,1jfLCbkowa2O8Wq52mo61d,album,,2021-09-17,2021,day,0.316,0.154,7,-18.608,1,0.0347,0.933,0.986,0.14,0.0754,69.605,6cfiC1Bl86u2MpdlYAoBJD,https://api.spotify.com/v1/audio-analysis/6cfiC1Bl86u2MpdlYAoBJD,4,,,1,81278,FALSE,https://api.spotify.com/v1/tracks/6cfiC1Bl86u2MpdlYAoBJD,FALSE,Downtempo Montage,NA,10,track,spotify:track:6cfiC1Bl86u2MpdlYAoBJD,https://open.spotify.com/track/6cfiC1Bl86u2MpdlYAoBJD,The Nowhere Inn,G,major,G major
