danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,artist_name,album_name,producer,artist_id,album_id,key_name,mode_name,key_mode,Unnamed: 0,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,track_id,artists,available_markets,disc_number,explicit,is_local,track_preview_url,track_number,track_uri,external_urls.spotify
0.364,0.167,7,-12.168,1,0.0361,0.867,0.00116,0.358,0.143,121.218,track,NA,NA,https://api.spotify.com/v1/tracks/3KbOflJ5JqHWtmco4PiO3h,https://api.spotify.com/v1/audio-analysis/3KbOflJ5JqHWtmco4PiO3h,295201,4,The Grants,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,other,00FQb4jTyendYWaN8pK0wa,5HOHne1wzItQlIYmLXLYfZ,G,major,G major,1,album,NA,2023-03-24,2023,day,3KbOflJ5JqHWtmco4PiO3h,NA,NA,1,FALSE,FALSE,NA,1,spotify:track:3KbOflJ5JqHWtmco4PiO3h,https://open.spotify.com/track/3KbOflJ5JqHWtmco4PiO3h
0.457,0.343,0,-9.387,1,0.0305,0.805,0.0182,0.12,0.0562,119.94,track,NA,NA,https://api.spotify.com/v1/tracks/0HEzuLLojblUOaUSdmJ9gl,https://api.spotify.com/v1/audio-analysis/0HEzuLLojblUOaUSdmJ9gl,285050,4,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,other,00FQb4jTyendYWaN8pK0wa,5HOHne1wzItQlIYmLXLYfZ,C,major,C major,2,album,NA,2023-03-24,2023,day,0HEzuLLojblUOaUSdmJ9gl,NA,NA,1,TRUE,FALSE,NA,2,spotify:track:0HEzuLLojblUOaUSdmJ9gl,https://open.spotify.com/track/0HEzuLLojblUOaUSdmJ9gl
0.326,0.245,0,-12.337,1,0.0293,0.958,0.00389,0.157,0.0695,126.725,track,NA,NA,https://api.spotify.com/v1/tracks/6x8g6DxglrzCSwKhv2Q1ee,https://api.spotify.com/v1/audio-analysis/6x8g6DxglrzCSwKhv2Q1ee,215295,4,Sweet,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,other,00FQb4jTyendYWaN8pK0wa,5HOHne1wzItQlIYmLXLYfZ,C,major,C major,3,album,NA,2023-03-24,2023,day,6x8g6DxglrzCSwKhv2Q1ee,NA,NA,1,TRUE,FALSE,NA,3,spotify:track:6x8g6DxglrzCSwKhv2Q1ee,https://open.spotify.com/track/6x8g6DxglrzCSwKhv2Q1ee
0.421,0.247,10,-14.655,1,0.143,0.665,0.375,0.115,0.139,161.468,track,NA,NA,https://api.spotify.com/v1/tracks/5nW4z3pfZgJAJ2QTCz9AIE,https://api.spotify.com/v1/audio-analysis/5nW4z3pfZgJAJ2QTCz9AIE,433916,4,A&W,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,antonoff,00FQb4jTyendYWaN8pK0wa,5HOHne1wzItQlIYmLXLYfZ,A#,major,A# major,4,album,NA,2023-03-24,2023,day,5nW4z3pfZgJAJ2QTCz9AIE,NA,NA,1,TRUE,FALSE,NA,4,spotify:track:5nW4z3pfZgJAJ2QTCz9AIE,https://open.spotify.com/track/5nW4z3pfZgJAJ2QTCz9AIE
0.476,0.33,9,-10.48,1,0.102,0.96,4.39E-05,0.221,0.368,77.111,track,NA,NA,https://api.spotify.com/v1/tracks/4fFqFgMDP9lY8tqEoArFGq,https://api.spotify.com/v1/audio-analysis/4fFqFgMDP9lY8tqEoArFGq,276757,4,Judah Smith Interlude,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,antonoff,00FQb4jTyendYWaN8pK0wa,5HOHne1wzItQlIYmLXLYfZ,A,major,A major,5,album,NA,2023-03-24,2023,day,4fFqFgMDP9lY8tqEoArFGq,NA,NA,1,FALSE,FALSE,NA,5,spotify:track:4fFqFgMDP9lY8tqEoArFGq,https://open.spotify.com/track/4fFqFgMDP9lY8tqEoArFGq
0.343,0.142,11,-16.432,0,0.0395,0.871,0.0103,0.0915,0.0799,116.295,track,NA,NA,https://api.spotify.com/v1/tracks/3MlEryrxCKZkcfX18ZLX96,https://api.spotify.com/v1/audio-analysis/3MlEryrxCKZkcfX18ZLX96,314520,4,Candy Necklace (feat. Jon Batiste),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,other,00FQb4jTyendYWaN8pK0wa,5HOHne1wzItQlIYmLXLYfZ,B,minor,B minor,6,album,NA,2023-03-24,2023,day,3MlEryrxCKZkcfX18ZLX96,NA,NA,1,FALSE,FALSE,NA,6,spotify:track:3MlEryrxCKZkcfX18ZLX96,https://open.spotify.com/track/3MlEryrxCKZkcfX18ZLX96
0.291,0.319,9,-11.651,1,0.034,0.983,0.55,0.0627,0.0653,103.496,track,NA,NA,https://api.spotify.com/v1/tracks/2JFVBojvTHpSZLoyowuZys,https://api.spotify.com/v1/audio-analysis/2JFVBojvTHpSZLoyowuZys,213435,4,Jon Batiste Interlude,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,antonoff,00FQb4jTyendYWaN8pK0wa,5HOHne1wzItQlIYmLXLYfZ,A,major,A major,7,album,NA,2023-03-24,2023,day,2JFVBojvTHpSZLoyowuZys,NA,NA,1,FALSE,FALSE,NA,7,spotify:track:2JFVBojvTHpSZLoyowuZys,https://open.spotify.com/track/2JFVBojvTHpSZLoyowuZys
0.447,0.0858,9,-15.806,1,0.042,0.984,0.00331,0.242,0.173,116.091,track,NA,NA,https://api.spotify.com/v1/tracks/4VL310GGX3b2ixL3sV0Je8,https://api.spotify.com/v1/audio-analysis/4VL310GGX3b2ixL3sV0Je8,378951,4,Kintsugi,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,antonoff,00FQb4jTyendYWaN8pK0wa,5HOHne1wzItQlIYmLXLYfZ,A,major,A major,8,album,NA,2023-03-24,2023,day,4VL310GGX3b2ixL3sV0Je8,NA,NA,1,FALSE,FALSE,NA,8,spotify:track:4VL310GGX3b2ixL3sV0Je8,https://open.spotify.com/track/4VL310GGX3b2ixL3sV0Je8
0.439,0.192,5,-13.564,1,0.0418,0.924,0.000643,0.158,0.0786,124.232,track,NA,NA,https://api.spotify.com/v1/tracks/1BUckPDAi8NYfLN7EiQcQA,https://api.spotify.com/v1/audio-analysis/1BUckPDAi8NYfLN7EiQcQA,348256,3,Fingertips,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,other,00FQb4jTyendYWaN8pK0wa,5HOHne1wzItQlIYmLXLYfZ,F,major,F major,9,album,NA,2023-03-24,2023,day,1BUckPDAi8NYfLN7EiQcQA,NA,NA,1,TRUE,FALSE,NA,9,spotify:track:1BUckPDAi8NYfLN7EiQcQA,https://open.spotify.com/track/1BUckPDAi8NYfLN7EiQcQA
0.315,0.102,0,-17.621,0,0.034,0.985,0.0512,0.109,0.185,169.69,track,NA,NA,https://api.spotify.com/v1/tracks/0Oqxt6JixieLHbwMfnJGWO,https://api.spotify.com/v1/audio-analysis/0Oqxt6JixieLHbwMfnJGWO,206722,3,"Paris, Texas (feat. SYML)",Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,antonoff,00FQb4jTyendYWaN8pK0wa,5HOHne1wzItQlIYmLXLYfZ,C,minor,C minor,10,album,NA,2023-03-24,2023,day,0Oqxt6JixieLHbwMfnJGWO,NA,NA,1,FALSE,FALSE,NA,10,spotify:track:0Oqxt6JixieLHbwMfnJGWO,https://open.spotify.com/track/0Oqxt6JixieLHbwMfnJGWO
