"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_name","artist_name","album_name","producer","artist_id","album_id","key_name","mode_name","key_mode","Unnamed: 0","album_type","album_images","album_release_date","album_release_year","album_release_date_precision","track_id","artists","available_markets","disc_number","explicit","is_local","track_preview_url","track_number","track_uri","external_urls.spotify"
0.578,0.892,10,-7.952,0,0.0441,0.000139,0.0111,0.215,0.892,150.253,"audio_features","2YxXuCdbUpil3P7tRjhW1t","spotify:track:2YxXuCdbUpil3P7tRjhW1t","https://api.spotify.com/v1/tracks/2YxXuCdbUpil3P7tRjhW1t","https://api.spotify.com/v1/audio-analysis/2YxXuCdbUpil3P7tRjhW1t",196613,4,"Banquet","Bloc Party","Silent Alarm","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.463,0.852,4,-5.288,1,0.0687,1.38e-05,0.043,0.108,0.67,169.87,"audio_features","6col06dC7iossljlQQ1Xx2","spotify:track:6col06dC7iossljlQQ1Xx2","https://api.spotify.com/v1/tracks/6col06dC7iossljlQQ1Xx2","https://api.spotify.com/v1/audio-analysis/6col06dC7iossljlQQ1Xx2",207533,4,"Little Thoughts","Bloc Party","Silent Alarm","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.504,0.659,5,-6.787,1,0.119,0.24,0,0.161,0.387,93.396,"audio_features","4W6gvqpSxaTipukE5521Yl","spotify:track:4W6gvqpSxaTipukE5521Yl","https://api.spotify.com/v1/tracks/4W6gvqpSxaTipukE5521Yl","https://api.spotify.com/v1/audio-analysis/4W6gvqpSxaTipukE5521Yl",196232,4,"Tulips & Roses","G-Eazy","Tulips & Roses","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.304,0.973,9,-3.244,1,0.25,0.0111,0,0.0521,0.434,189.603,"audio_features","2didoGbgsKR7dxKYu8rZCg","spotify:track:2didoGbgsKR7dxKYu8rZCg","https://api.spotify.com/v1/tracks/2didoGbgsKR7dxKYu8rZCg","https://api.spotify.com/v1/audio-analysis/2didoGbgsKR7dxKYu8rZCg",105520,4,"Le Garage","The Futureheads","The Futureheads (new version)","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.59,0.787,7,-5.766,1,0.0512,6.94e-06,0.845,0.0293,0.598,111.926,"audio_features","4zu9wo2FXoBSsKjO6tRB3R","spotify:track:4zu9wo2FXoBSsKjO6tRB3R","https://api.spotify.com/v1/tracks/4zu9wo2FXoBSsKjO6tRB3R","https://api.spotify.com/v1/audio-analysis/4zu9wo2FXoBSsKjO6tRB3R",287720,4,"Robot Rock","Daft Punk","Human After All","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.527,0.919,4,-2.96,1,0.056,0.106,4.52e-05,0.152,0.883,171.953,"audio_features","0jI2UIQZuoLAbMOEXlWMgk","spotify:track:0jI2UIQZuoLAbMOEXlWMgk","https://api.spotify.com/v1/tracks/0jI2UIQZuoLAbMOEXlWMgk","https://api.spotify.com/v1/audio-analysis/0jI2UIQZuoLAbMOEXlWMgk",152613,4,"Decent Days and Nights","The Futureheads","Music From The O.C. Mix 4","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.812,0.744,1,-4.916,0,0.0888,0.0909,0.00068,0.187,0.567,126.342,"audio_features","0gCthD537l9Yga2GIm0Yd8","spotify:track:0gCthD537l9Yga2GIm0Yd8","https://api.spotify.com/v1/tracks/0gCthD537l9Yga2GIm0Yd8","https://api.spotify.com/v1/audio-analysis/0gCthD537l9Yga2GIm0Yd8",97149,4,"Meantime","Jades","Meantime","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.139,0.853,6,-21.328,1,0.0472,0.0963,0.0698,0.504,0.0229,140.834,"audio_features","0ImpKvyRDQDccMBwSgpdvz","spotify:track:0ImpKvyRDQDccMBwSgpdvz","https://api.spotify.com/v1/tracks/0ImpKvyRDQDccMBwSgpdvz","https://api.spotify.com/v1/audio-analysis/0ImpKvyRDQDccMBwSgpdvz",114000,3,"Dance of the Water","Island Nature Sounds","Nature's Symphony: Whispering Waters","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.337,0.966,9,-3.316,1,0.145,0.0658,0.0184,0.455,0.436,180.05,"audio_features","5blyQq2QszZdnSiyjgAWTM","spotify:track:5blyQq2QszZdnSiyjgAWTM","https://api.spotify.com/v1/tracks/5blyQq2QszZdnSiyjgAWTM","https://api.spotify.com/v1/audio-analysis/5blyQq2QszZdnSiyjgAWTM",165107,4,"Carnival Kids","The Futureheads","The Futureheads (new version)","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,0.836,6,-6.165,1,0.0454,0.00107,4.03e-05,0.197,0.41,90.011,"audio_features","2lrHKMXyu8LTLxMorzJkTQ","spotify:track:2lrHKMXyu8LTLxMorzJkTQ","https://api.spotify.com/v1/tracks/2lrHKMXyu8LTLxMorzJkTQ","https://api.spotify.com/v1/audio-analysis/2lrHKMXyu8LTLxMorzJkTQ",207173,4,"He Knows My Name","Francesca Battistelli","If We're Honest (Deluxe Version)","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
