producer,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
epworth,0.578,0.892,-7.952,0,0.0441,1.39e-4,0.0111,0.215,0.892,150.253
epworth,0.463,0.852,-5.288,1,0.0687,1.38e-5,0.043,0.108,0.67,169.87
epworth,0.504,0.659,-6.787,1,0.119,0.24,0,0.161,0.387,93.396
epworth,0.304,0.973,-3.244,1,0.25,0.0111,0,0.0521,0.434,189.603
epworth,0.59,0.787,-5.766,1,0.0512,6.94e-6,0.845,0.0293,0.598,111.926
epworth,0.527,0.919,-2.96,1,0.056,0.106,4.52e-5,0.152,0.883,171.953
epworth,0.812,0.744,-4.916,0,0.0888,0.0909,6.8e-4,0.187,0.567,126.342
epworth,0.139,0.853,-21.328,1,0.0472,0.0963,0.0698,0.504,0.0229,140.834
epworth,0.337,0.966,-3.316,1,0.145,0.0658,0.0184,0.455,0.436,180.05
epworth,0.5,0.836,-6.165,1,0.0454,0.00107,4.03e-5,0.197,0.41,90.011
epworth,0.403,0.982,-3.218,1,0.106,0.0664,0.0126,0.273,0.807,179.868
epworth,0.546,0.748,-13.989,1,0.0384,0.505,0,0.16,0.9,145.58
epworth,0.643,0.809,-3.275,1,0.028,0.45,1.22e-6,0.154,0.499,112.677
epworth,0.535,0.812,-4.679,1,0.112,0.0099,2.32e-5,0.138,0.796,174.887
epworth,0.833,0.435,-8.481,0,0.0775,0.142,0.00182,0.242,0.353,120.071
epworth,0.47,0.952,-3.641,0,0.134,1.39e-4,0.00283,0.386,0.398,170.058
epworth,0.46,0.686,-5.948,0,0.0367,0.00146,0,0.375,0.252,148.054
epworth,0.296,0.841,-4.746,1,0.0487,0.00364,0.792,0.102,0.134,155.563
epworth,0.638,0.805,-5.749,0,0.14,0.00311,0.00195,0.195,0.66,160.187
epworth,0.399,0.982,-4.832,0,0.16,3e-4,2.04e-4,0.0947,0.224,160.264
epworth,0.451,0.222,-15.508,1,0.0285,0.837,0.63,0.0978,0.179,138.943
epworth,0.563,0.951,-5.357,1,0.231,0.0116,0.434,0.0631,0.184,150.163
epworth,0.453,0.938,-5.344,1,0.0386,0.00306,0.00318,0.132,0.261,160.005
epworth,0.475,0.385,-9.966,0,0.028,0.386,0.00348,0.0968,0.0845,99.997
