"","artist_name","track_name","energy","danceability","energy.1","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","jack"
"1","Lana Del Rey","Text Book",0.318,0.424,0.318,2,-9.915,0,0.0427,0.824,0.000542,0.114,0.102,119.396,"0"
"2","Lana Del Rey","Blue Banisters",0.114,0.373,0.114,5,-13.171,1,0.041,0.937,4.73e-05,0.104,0.172,90.945,"0"
"3","Lana Del Rey","Arcadia",0.106,0.323,0.106,10,-10.374,1,0.0323,0.97,5.94e-05,0.108,0.158,91.455,"0"
"4","Lana Del Rey","Interlude - The Trio",0.493,0.376,0.493,2,-14.03,1,0.0372,0.000689,0.901,0.153,0.119,102.845,"0"
"5","Lana Del Rey","Black Bathing Suit",0.377,0.418,0.377,11,-11.612,1,0.0738,0.852,4.61e-05,0.374,0.283,113.936,"0"
"6","Lana Del Rey","If You Lie Down With Me",0.346,0.641,0.346,0,-9.508,1,0.036,0.913,3.99e-05,0.104,0.187,122.101,"0"
"7","Lana Del Rey","Beautiful",0.202,0.552,0.202,6,-10.685,1,0.043,0.96,0.00154,0.225,0.237,78.021,"0"
"8","Lana Del Rey","Violets for Roses",0.21,0.513,0.21,10,-10.472,1,0.0301,0.922,0,0.123,0.14,88.021,"0"
"9","Lana Del Rey","Dealer",0.59,0.602,0.59,0,-6.346,0,0.0279,0.318,0.000166,0.104,0.381,130.08,"0"
"10","Lana Del Rey","Thunder",0.475,0.483,0.475,3,-8.442,1,0.0291,0.674,0.00167,0.115,0.237,73.862,"0"
"11","Lana Del Rey","Wildflower Wildfire",0.205,0.547,0.205,7,-10.021,0,0.0277,0.873,0.0502,0.113,0.222,105.745,"0"
"12","Lana Del Rey","Nectar Of The Gods",0.165,0.447,0.165,10,-9.275,1,0.0342,0.888,1.4e-06,0.177,0.122,101.758,"0"
"13","Lana Del Rey","Living Legend",0.219,0.402,0.219,7,-9.244,1,0.0318,0.935,0.0034,0.102,0.166,126.595,"0"
"14","Lana Del Rey","Cherry Blossom",0.119,0.413,0.119,7,-12.499,1,0.0348,0.982,0.00219,0.112,0.216,111.11,"0"
