producer,term,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,energy,danceability
antonoff,tempo,0.2016817380286347,-0.031243847862125657,0.15482305523764178,-0.20316777787855061,0.11437114397267774,-0.01305763616782841,0.14970444275394684,0.34695099611201663,-0.14285595764881961
antonoff,valence,NA,0.08532528951773674,-0.1827868052384531,-0.2564112251691985,0.11160455030047614,0.08169096081132764,0.3582354208651202,0.42866425240599004,0.31193375940828044
antonoff,liveness,NA,NA,0.12069882781501406,-0.03905061713266263,-0.0586832971083596,0.18076463930331685,0.18074188273651562,0.23823038511793168,-0.019160697534522125
antonoff,instrumentalness,NA,NA,NA,0.1660670042540737,-0.10119788221183264,0.07261156748604464,-0.23642672000033327,-0.015173955253931124,-0.16722361132213898
antonoff,acousticness,NA,NA,NA,NA,-0.1754455051787731,0.0040093312657020165,-0.7275921767700984,-0.7472801440150736,-0.4843669959805634
antonoff,speechiness,NA,NA,NA,NA,NA,-0.16481125891468296,0.05669753934648828,0.07994914848665831,0.336720629670017
antonoff,mode,NA,NA,NA,NA,NA,NA,-0.005562199651751215,0.11085277469479425,-0.09194666080040041
antonoff,loudness,NA,NA,NA,NA,NA,NA,NA,0.820403185651795,0.3660746349157814
antonoff,energy,NA,NA,NA,NA,NA,NA,NA,NA,0.2741620895944768
epworth,tempo,0.07626841762673331,0.03782220666635212,-0.08087718428567513,-0.22441537421930136,0.18355595710275172,0.18073849673072762,0.18733729055256398,0.24454321116388109,-0.13409654963451942
epworth,valence,NA,0.058051028902911785,-0.1786159943986273,-0.15907916630820967,0.0910558131277043,0.07262865531417079,0.2273053386736511,0.2877745718871536,0.4655088704315672
epworth,liveness,NA,NA,-0.01425832734100021,-0.19777808828011054,0.11625293046969604,0.044062228181958554,0.02129503688654878,0.2324862221269059,-0.03108783578249982
epworth,instrumentalness,NA,NA,NA,0.12799489042940967,-0.14149840669738362,0.012241091036510596,-0.4363824615691507,-0.23568089213230597,-0.09830568478585121
epworth,acousticness,NA,NA,NA,NA,-0.11733469517358243,0.06390068129202281,-0.5010474110112574,-0.7399030983837135,-0.07333282596796106
epworth,speechiness,NA,NA,NA,NA,NA,0.06186704881099144,0.12244668171696853,0.1595575957153278,0.17826399072183885
epworth,mode,NA,NA,NA,NA,NA,NA,-0.03043630750234343,0.013662938677949982,3.9045671722254466e-4
epworth,loudness,NA,NA,NA,NA,NA,NA,NA,0.7489551482665118,0.10362040569303577
epworth,energy,NA,NA,NA,NA,NA,NA,NA,NA,-0.009993919054683918
kurstin,tempo,0.04410665157102037,0.019284146054514117,-0.0876517862074286,-0.22824052487631963,0.08935510785837911,0.028176211046319385,0.20259889139505743,0.24437679240726662,-0.11875641493355202
kurstin,valence,NA,-0.04147807204062445,-0.12478543153119569,-0.3085603826177315,0.014002160046566212,-0.007437027077905883,0.2943084958002579,0.40708523849428635,0.5154201154269429
kurstin,liveness,NA,NA,0.01667516791673492,-0.11824456658841535,0.10647722402597827,0.0363606774147711,0.07620495777436334,0.1925008007884549,-0.14017761854884916
kurstin,instrumentalness,NA,NA,NA,0.26486409540928907,-0.027870920360485888,0.03477685500068979,-0.5458763159299663,-0.2675509990557671,-0.08994632975301169
kurstin,acousticness,NA,NA,NA,NA,-0.0515627313553939,0.05638243158519026,-0.5789563094171698,-0.7488933408151801,-0.19718076274776922
